year_month,age,male,female,total,source_url
202101,92,58,139,197,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,18,730,675,1405,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,43,790,812,1602,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,68,671,730,1401,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,93,32,115,147,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,19,667,667,1334,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,44,810,879,1689,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,69,641,783,1424,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,94,23,85,108,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,20,624,646,1270,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,45,884,868,1752,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,70,672,700,1372,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,95,9,84,93,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,21,683,642,1325,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,46,935,957,1892,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,71,609,645,1254,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,96,15,48,63,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,22,657,628,1285,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,47,910,1002,1912,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,72,620,656,1276,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,97,14,38,52,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,23,614,632,1246,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,48,911,896,1807,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,73,609,654,1263,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,98,5,41,46,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,24,659,608,1267,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,49,854,905,1759,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,74,297,335,632,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,99,4,25,29,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,100,2,22,24,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,101,3,13,16,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202102,0,634,576,1210,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,25,640,626,1266,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,50,822,883,1705,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,75,232,257,489,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,1,628,562,1190,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,26,664,597,1261,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,51,821,790,1611,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,76,310,408,718,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,2,595,585,1180,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
